timestamp,z60_y0_x90,z60_y0_x60,z60_y0_x30,z60_y0_x0,z40_y0_x90,z40_y0_x60,z40_y0_x30,z40_y0_x0,z20_y0_x90,z20_y0_x60,z20_y0_x30,z20_y0_x0
1593003600,-17.6847657456,-18.2122935519,-79.4253480384,-138.2164661199,-64.4610964476,-76.5679623024,-138.9257231484,-17.6847657456,-136.7977726479,-157.25105751,-197.3508185244,-12.59966775
1593007200,-17.6847657456,-18.2122935519,-80.1395449599,-138.2164661199,-65.1765452871,-83.6620411599,-141.0531354039,-17.6847657456,-137.5071492864,-156.5905299696,-194.5332071004,-12.59966775
1593010800,-17.6847657456,-18.2122935519,-81.5201560944,-137.5071492864,-65.8919343216,-79.4253480384,-142.4711112159,-17.6847657456,-138.2164661199,-157.9587077775,-188.2370867184,-18.2122935519
1593014400,-17.6847657456,-18.2122935519,-82.2341775879,-137.5071492864,-65.8919343216,-85.0896655119,-143.1800094144,-17.6847657456,-138.2164661199,-157.9587077775,-185.4163813824,-31.0069674876
1593018000,-17.6847657456,-18.2122935519,-81.5201560944,-136.0883362044,-67.3225329756,-85.0896655119,-143.1800094144,-18.2122935519,-137.5071492864,-157.25105751,-181.1835292284,-17.1092441856
1593021600,-17.6847657456,-18.2122935519,-81.5201560944,-136.0883362044,-68.0377425951,-85.0896655119,-143.8888478079,-18.7877417511,-137.5071492864,-158.66629824,-174.8772935616,-17.6847657456
1593025200,-17.6847657456,-18.2122935519,-80.8060747959,-135.3788399559,-68.7528924096,-84.3758832384,-143.1800094144,-18.7877417511,-138.2164661199,-157.25105751,-172.0520589936,-18.2122935519
1593028800,-17.1092441856,-18.2122935519,-80.1395449599,-134.7165894999,-69.4203116124,-81.5201560944,-141.7621532124,-19.9385233239,-138.2164661199,-157.25105751,-169.2258675456,-18.7877417511
1593032400,-21.6164720124,-18.2122935519,-78.7110913119,-133.2973059519,-70.1353458039,-85.0896655119,-141.0531354039,-19.9385233239,-138.9257231484,-157.9587077775,-165.0319211775,-19.9385233239
1593036000,-17.1092441856,-18.7877417511,-78.7110913119,-126.9075696384,-70.1353458039,-80.1395449599,-141.0531354039,-20.4659137116,-141.7621532124,-156.5905299696,-162.91058511,-19.9385233239
1593039600,-17.1092441856,-18.7877417511,-77.9967747804,-124.7765810439,-70.8503201904,-79.4253480384,-140.3440577904,-21.6164720124,-143.1800094144,-157.25105751,-161.49606204,-21.0412119996
1593043200,-21.6164720124,-18.7877417511,-77.2823984439,-122.6924273151,-71.5652347719,-78.7110913119,-140.3440577904,-22.19169375,-144.5976263964,-157.9587077775,-159.3738288975,-22.8148074399
1593046800,-17.1092441856,-18.7877417511,-77.2823984439,-121.2711183711,-71.5652347719,-80.8060747959,-139.6349203719,-22.8148074399,-145.3063451799,-157.9587077775,-157.9587077775,-23.4378762096
