timestamp,air_humidity
1470726000,42.0
1470729600,35.0
1470733200,30.0
1470736800,28.0
1470740400,25.0
1470744000,24.0
1470747600,24.0
1470751200,24.0
1470754800,23.0
1470758400,24.0
1470762000,24.0
1470765600,26.0
1470769200,33.0
1470772800,36.0
1470776400,40.0
1470780000,44.0
1470783600,43.0
1470787200,41.0
1470790800,49.0
1470794400,64.0
1470798000,77.0
1470801600,78.0
1470805200,78.0
1470808800,70.0
1470812400,64.0
1470816000,64.0
1470819600,61.0
1470823200,69.0
1470826800,89.0
1470830400,78.0
1470834000,60.0
1470837600,56.0
1470841200,59.0
1470844800,58.0
1470848400,62.0
1470852000,62.0
1470855600,61.0
1470859200,62.0
1470862800,67.0
1470866400,66.0
1470870000,70.0
1470873600,72.0
1470877200,72.0
1470880800,81.0
1470884400,87.0
1470888000,79.0
1470891600,76.0
1470895200,61.0
1470898800,64.0
1470902400,52.0
1470906000,53.0
1470909600,48.0
1470913200,38.0
1470916800,29.0
1470920400,28.0
1470924000,27.0
1470927600,25.0
1470931200,23.0
1470934800,25.0
1470938400,29.0
1470942000,28.0
1470945600,38.0
1470949200,47.0
1470952800,51.0
1470956400,56.0
1470960000,57.0
1470963600,59.0
1470967200,59.0
1470970800,62.0
1470974400,64.0
1470978000,64.0
1470981600,60.0
1470985200,53.0
1470988800,40.0
1470992400,41.0
1470996000,40.0
1470999600,37.0
1471003200,34.0
1471006800,32.0
1471010400,31.0
1471014000,31.0
1471017600,32.0
1471021200,32.0
1471024800,33.0
1471028400,34.0
1471032000,37.0
1471035600,38.0
1471039200,40.0
1471042800,44.0
1471046400,46.0
1471050000,51.0
1471053600,57.0
1471057200,55.0
1471060800,56.0
1471064400,60.0
1471068000,55.0
1471071600,48.0
1471075200,37.0
1471078800,38.0
1471082400,35.0
1471086000,30.0
1471089600,28.0
1471093200,28.0
1471096800,28.0
1471100400,29.0
1471104000,30.0
1471107600,31.0
1471111200,33.0
1471114800,35.0
1471118400,39.0
1471122000,43.0
1471125600,47.0
1471129200,55.0
1471132800,57.0
1471136400,58.0
1471140000,58.0
1471143600,60.0
1471147200,61.0
1471150800,62.0
1471154400,58.0
1471158000,50.0
1471161600,40.0
1471165200,34.0
1471168800,30.0
1471172400,27.0
1471176000,25.0
1471179600,25.0
1471183200,24.0
1471186800,24.0
1471190400,24.0
1471194000,25.0
1471197600,30.0
1471201200,36.0
1471204800,41.0
1471208400,46.0
1471212000,51.0
1471215600,55.0
1471219200,57.0
1471222800,58.0
1471226400,56.0
1471230000,56.0
1471233600,58.0
1471237200,60.0
1471240800,59.0
1471244400,51.0
1471248000,44.0
1471251600,40.0
1471255200,36.0
1471258800,32.0
1471262400,29.0
1471266000,28.0
1471269600,24.0
1471273200,24.0
1471276800,26.0
1471280400,27.0
1471284000,30.0
1471287600,36.0
1471291200,40.0
1471294800,45.0
1471298400,48.0
1471302000,32.0
1471305600,37.0
1471309200,60.0
1471312800,56.0
1471316400,48.0
1471320000,51.0
1471323600,54.0
1471327200,53.0
1471330800,50.0
1471334400,49.0
1471338000,49.0
1471341600,41.0
1471345200,37.0
1471348800,32.0
1471352400,25.0
1471356000,23.0
1471359600,24.0
1471363200,27.0
1471366800,28.0
1471370400,30.0
1471374000,31.0
1471377600,33.0
1471381200,32.0
1471384800,32.0
1471388400,32.0
1471392000,34.0
1471395600,36.0
1471399200,40.0
1471402800,44.0
